nuts3,year,yield_tha
ES423,2020,1.3802136784953831
ES423,2021,2.680518667547695
ES423,2022,0.3337177702998149
ES423,2023,2.747480354123602
ES511,2018,
ES511,2019,7.939485344407774
ES511,2020,14.039519683401053
ES511,2021,1.199900400738526
ES511,2022,4.777641769984317
ES511,2023,12.328349459305565
ES513,2018,
ES513,2019,4.214163840038441
ES513,2020,11.678705825187734
ES513,2021,4.059857807055482
ES513,2022,2.4844861421501006
ES513,2023,7.89211035714356
ES514,2018,
ES514,2019,1.8713834828275426
ES514,2020,6.380426145867626
ES514,2021,1.923045055693422
ES514,2022,2.746639456821027
ES514,2023,1.0428299844116111
ES521,2018,
ES521,2019,1.2136663339364917
ES521,2020,8.391116989167648
ES521,2021,6.774915148610171
ES521,2022,1.6614971655538373
ES521,2023,4.602850923078888
ES522,2018,
ES522,2019,1.8755036843462747
ES522,2020,9.77795042943495
ES522,2021,3.400393660861643
ES522,2022,3.5261381511975705
ES522,2023,2.277360084356114
ES523,2018,
ES523,2019,1.8505886944101861
ES523,2020,6.8461682746880905
ES523,2021,6.582836299269117
ES523,2022,1.56533669925061
ES523,2023,2.210790739530035
ES531,2018,
ES531,2019,2.259584820003574
ES531,2020,4.861281327864462
ES531,2021,10.205496164164561
ES531,2022,11.033581400241921
ES531,2023,1.391996198971413
ES532,2018,
ES532,2019,2.211514696568828
ES532,2020,5.433775311493538
ES532,2021,3.2941293315255176
ES532,2022,2.4469061063185626
ES532,2023,2.111516018167359
ES533,2018,
ES533,2019,0.6751696069914687
ES533,2020,4.769296059822838
ES533,2021,2.3886474413481036
ES533,2022,4.8360247819027995
ES533,2023,1.267656360635768
ES614,2018,
ES614,2019,0.38117249034916845
ES614,2020,1.567734795609105
ES614,2021,2.444694593784489
ES614,2022,0.44983986732418196
ES614,2023,1.624956742061318
ES617,2018,
ES617,2019,2.0768054810005614
ES617,2020,7.385233612500558
ES617,2021,4.203746395654017
ES617,2022,4.1752861530605045
ES617,2023,1.4697480428079466
ES620,2018,
ES620,2019,1.6087475852827047
ES620,2020,5.1029795035303325
ES620,2021,6.2667050631710115
ES620,2022,2.0653106396791374
ES620,2023,1.9617244306910337
FI193,2018,
FI193,2019,4.948008837330772
FI193,2020,9.674613302420298
FI193,2021,6.887278090382147
FI193,2022,10.119216085586377
