nuts3,year,yield_tha
ES514,2023,1.3788270687874498
ES521,2018,
ES521,2019,2.0166382539361773
ES521,2020,9.180543800528156
ES521,2021,9.330868654493935
ES521,2022,3.5832054514615295
ES521,2023,6.877814373970248
ES522,2018,
ES522,2019,2.2345789457262613
ES522,2020,10.840662871243818
ES522,2021,8.84998005465517
ES522,2022,6.184368240922725
ES522,2023,3.8403561494064307
ES523,2018,
ES523,2019,2.381621022115674
ES523,2020,7.315702485850545
ES523,2021,10.533218899577307
ES523,2022,2.511798883698302
ES523,2023,4.713553479582637
ES531,2018,
ES531,2019,2.263229076860621
ES531,2020,5.527857226912265
ES531,2021,10.15719840277133
ES531,2022,11.081513164526962
ES531,2023,2.2434088190046846
ES532,2018,
ES532,2019,2.0343494036894803
ES532,2020,6.397454237255057
ES532,2021,2.169092962653354
ES532,2022,3.9606763003354963
ES532,2023,3.4909780233387844
ES533,2018,
ES533,2019,1.1638781860703808
ES533,2020,5.389399962057668
ES533,2021,3.4266530375498787
ES533,2022,4.461386082990068
ES533,2023,2.0392082336632704
ES614,2018,
ES614,2019,0.7371793034495813
ES614,2020,2.5437099045832654
ES614,2021,1.583018431247785
ES614,2022,0.9087450465343886
ES614,2023,2.9644246886869365
ES617,2018,
ES617,2019,2.0302740958090353
ES617,2020,7.446787525396972
ES617,2021,3.8031485850096134
ES617,2022,5.368945390295329
ES617,2023,1.8844017289474884
ES620,2018,
ES620,2019,2.0928637561452397
ES620,2020,5.970992326115211
ES620,2021,6.322216392918393
ES620,2022,3.937713502849605
ES620,2023,3.7929740027937435
FI193,2018,
FI193,2019,5.592349819477058
FI193,2020,9.121501892633747
FI193,2021,6.558316732436825
FI193,2022,10.304625793978227
FI193,2023,11.12349639455806
FI194,2018,
FI194,2019,7.5787837986881
FI194,2020,9.47732792051479
FI194,2021,6.25787007419244
FI194,2022,10.618009085483035
FI194,2023,11.600109218623366
FI195,2018,
FI195,2019,7.794090527412285
FI195,2020,9.117910136800559
FI195,2021,7.530379071093636
FI195,2022,9.965307608257742
FI195,2023,11.9784615936649
FI196,2018,
FI196,2019,9.592387052461735
FI196,2020,10.539348218631712
FI196,2021,8.400260845710699
FI196,2022,11.314340929712523
FI196,2023,13.383381824114222
FI197,2018,
FI197,2019,9.245432528060475
FI197,2020,11.283007209856624
FI197,2021,7.271874732891351
FI197,2022,11.074049748766477
FI197,2023,11.977681949834853
FI1B1,2018,
FI1B1,2019,9.497513455375147
FI1B1,2020,11.135811721230366
FI1B1,2021,9.404452980772458
FI1B1,2022,7.387435556488481
FI1B1,2023,11.291304681953003
FI1C1,2018,
FI1C1,2019,10.522047937216382
FI1C1,2020,9.919245058836289
FI1C1,2021,8.196961970365908
FI1C1,2022,9.01315630386039
FI1C1,2023,11.113315625122443
FI1C2,2018,
FI1C2,2019,9.558204155866555
FI1C2,2020,10.846995888821283
FI1C2,2021,9.750906224048862
FI1C2,2022,9.434032681276674
FI1C2,2023,11.134063865060677
FI1C3,2018,
FI1C3,2019,9.741096566967357
FI1C3,2020,12.288329402859171
FI1C3,2021,9.700530297366337
FI1C3,2022,9.387547991793829
FI1C3,2023,10.683674985126222
FI1C4,2018,
FI1C4,2019,8.19302809317407
FI1C4,2020,11.595335608261035
FI1C4,2021,8.270049694152577
FI1C4,2022,5.133602994231402
FI1C4,2023,12.159950124842085
FI1C5,2018,
FI1C5,2019,10.180284484824783
FI1C5,2020,14.381824961229343
FI1C5,2021,6.084964477940515
FI1C5,2022,8.01436019789907
FI1C5,2023,13.431550987748135
FI1D1,2018,
